Hora;Lunes;Martes;Miércoles;Jueves;Viernes
8:30 - 9:30;INF-422 Contabilidad y Finanzas S1 - Sala B-116 - José Lastra;INF-423 Inteligencia Artificial S1 - Sala F-204 - Xaviera López;INF-422 Contabilidad y Finanzas S1 - Sala B-116 - José Lastra;;
9:35 - 10:35;INF-422 Contabilidad y Finanzas S1 - Sala B-116 - José Lastra;INF-423 Inteligencia Artificial S1 - Sala F-204 - Xaviera López;INF-422 Contabilidad y Finanzas S1 - Sala B-116 - José Lastra;;
10:50 - 11:50;;;INF-421 Módulo Integrador de Licenciatura S2 - Sala F-309 - Javier Rojas;;INF-423 Inteligencia Artificial L1 - Laboratorio DCI03 - Xaviera López
11:55 - 12:55;;;INF-421 Módulo Integrador de Licenciatura S2 - Sala F-309 - Javier Rojas;INF-425 Redes Avanzadas S2 - Laboratorio ex Sala 19 - Fabián Teillier;INF-423 Inteligencia Artificial L1 - Laboratorio DCI03 - Xaviera López
13:10 - 14:10;;;INF-421 Módulo Integrador de Licenciatura S2 - Sala F-309 - Javier Rojas;INF-425 Redes Avanzadas S2 - Laboratorio ex Sala 19 - Fabián Teillier;
14:30 - 15:30;INF-324 Base de Datos - Sala F303 - Carlos Castro;;;;
15:35 - 16:35;INF-324 Base de Datos - Sala F303 - Carlos Castro;;;INF-424 Ingeniería de Software I S2 - Sala I-107 - Nicolás Reyes;
16:50 - 17:50;INF-324 Base de Datos - Sala F303 - Carlos Castro;;;INF-424 Ingeniería de Software I S2 - Sala I-107 - Nicolás Reyes;
17:55 - 18:55;CFG01501 Espacios naturales y didácticos de los deportes aventura S2 - Sala D102aa - Francisca Pavez - fpavez@ucm.cl || INF-324 Base de Datos - Sala F303 - Carlos Castro;;;INF-424 Ingeniería de Software I S2 - Sala I-107 - Nicolás Reyes;
19:10 - 20:10;CFG01501 Espacios naturales y didácticos de los deportes aventura S2 - Sala D102aa - Francisca Pavez - fpavez@ucm.cl;;;;
